Year,WOY,Flower_Richness,bee_richness,bee_abund,Season
2014,16,16,NA,NA,Early
2014,17,19,NA,NA,Early
2014,18,27,88,5515,Early
2014,19,37,NA,NA,Early
2014,20,40,96,4928,Early
2014,21,43,NA,NA,Early
2014,22,49,NA,NA,Early
2014,23,53,NA,NA,Early
2014,24,55,91,1850,Early
2014,25,51,NA,NA,Early
2014,26,57,NA,NA,Early
2014,27,53,NA,NA,Early
2014,28,38,76,2009,Late
2014,29,30,NA,NA,Late
2014,30,28,NA,NA,Late
2014,31,27,60,1730,Late
2014,32,24,NA,NA,Late
2014,33,23,NA,NA,Late
2014,34,23,NA,NA,Late
2014,35,23,53,2669,Late
2014,36,24,NA,NA,Late
2014,37,22,NA,NA,Late
2014,38,18,52,2130,Late
2014,39,13,NA,NA,Late
2015,16,25,NA,NA,Early
2015,17,36,88,6987,Early
2015,18,42,NA,NA,Early
2015,19,45,81,3119,Early
2015,20,51,NA,NA,Early
2015,21,54,91,3467,Early
2015,22,62,NA,NA,Early
2015,23,69,NA,NA,Early
2015,24,63,81,2044,Early
2015,25,60,NA,NA,Early
2015,26,51,NA,NA,Early
2015,27,32,82,3821,Early
2015,28,25,NA,NA,Late
2015,29,22,NA,NA,Late
2015,30,21,76,6785,Late
2015,31,20,NA,NA,Late
2015,32,21,NA,NA,Late
2015,33,17,41,2107,Late
2015,34,16,NA,NA,Late
2015,35,17,NA,NA,Late
2015,36,17,39,2228,Late
2015,37,16,NA,NA,Late
2015,38,15,NA,NA,Late
2015,39,10,37,1156,Late
2016,16,31,64,4754,Early
2016,17,31,NA,NA,Early
2016,18,36,62,2928,Early
2016,19,46,NA,NA,Early
2016,20,52,NA,NA,Early
2016,21,52,72,1367,Early
2016,22,49,NA,NA,Early
2016,23,61,NA,NA,Early
2016,24,66,54,399,Early
2016,25,64,NA,NA,Early
2016,26,56,NA,NA,Early
2016,27,51,80,1687,Early
2016,28,35,NA,NA,Late
2016,29,32,NA,NA,Late
2016,30,27,68,5967,Late
2016,31,24,NA,NA,Late
2016,32,19,NA,NA,Late
2016,33,20,46,2387,Late
2016,34,17,NA,NA,Late
2016,35,16,NA,NA,Late
2016,36,11,45,3195,Late
2016,37,9,NA,NA,Late
2016,38,10,NA,NA,Late
2016,39,7,NA,NA,Late
2017,16,22,NA,NA,Early
2017,17,30,NA,NA,Early
2017,18,35,93,4888,Early
2017,19,35,NA,NA,Early
2017,20,43,NA,NA,Early
2017,21,48,70,998,Early
2017,22,59,NA,NA,Early
2017,23,62,NA,NA,Early
2017,24,65,NA,NA,Early
2017,25,67,80,897,Early
2017,26,65,NA,NA,Early
2017,27,55,NA,NA,Early
2017,28,36,75,4079,Late
2017,29,31,NA,NA,Late
2017,30,25,NA,NA,Late
2017,31,21,53,3741,Late
2017,32,19,NA,NA,Late
2017,33,12,NA,NA,Late
2017,34,12,69,4434,Late
2017,35,11,NA,NA,Late
2017,36,12,NA,NA,Late
2017,37,10,NA,NA,Late
2017,38,9,NA,NA,Late
2017,39,6,NA,NA,Late
