Year,Location_Name,Flower_Richness,bee_richness,GenusName,bee_abund,pres
2015,MPG105,8,1,Andrena,6,1
2015,MPG105,13,1,Andrena,3,1
2015,MPG105,12,1,Andrena,1,1
2015,MPG105,2,1,Andrena,3,1
2016,MPG105,10,1,Andrena,7,1
2016,MPG105,9,1,Andrena,1,1
2016,MPG105,11,1,Andrena,3,1
2016,MPG105,5,1,Andrena,1,1
2015,MPG106,7,1,Andrena,15,1
2015,MPG106,6,1,Andrena,6,1
2015,MPG106,3,1,Andrena,0,0
2016,MPG106,4,1,Andrena,1,1
2015,MPG108,1,1,Andrena,0,0
2016,MPG108,0,1,Andrena,0,0
2015,MPG367,14,1,Andrena,2,1
2015,MPG523,17,1,Andrena,2,1
